楼盘,小区,户型,面积,价格,年份
（店长推荐）西南四环边 御景春天 超大面积 经典两居,御景春天A区,2室2厅,92.77,425,2011
凤凰城二期精装修四居，有车位，看房方便,凤凰城二期,4室1厅,224.23,2100,2005
新景家园东区 高层朝南两居 视野采光无遮挡,新景家园东区,2室1厅,89.47,928,2004
怡景园 3室1厅 东,怡景园,3室1厅,118.22,998,1997
南北通透 方正三居室 二次精装修看房有钥匙,光华欣居,3室1厅,112.82,645,1998
顶秀欣园东苑 采光好 位置安静 满五唯一,顶秀欣园东苑,2室1厅,91.24,585,2006
金色漫香郡南区 3室2厅 南 北,金色漫香郡南区,3室2厅,137.75,438,2012
商品房 随时看房 南向采光好 带电梯 双阳台 明卫,天通苑东一区,3室1厅,164.88,568,2002
国风上观三居 看月牙湖全景 满五唯一 明厨明卫,国风上观,3室1厅,175.57,1500,2009
正规三居室，精装修满五年唯 ，业主诚心出售,方庄6号,3室1厅,120.41,895,2008
联排别墅，满五年，室内车库，拎包入住。,水色时光一区,6室2厅,192.3,580,2004
中海金玺公馆楼层好，无遮挡只有契税,中海金玺公馆,3室2厅,112.11,895,2017
新康园 3室1厅 南 北,新康园,3室1厅,102.6,680,1999
通州北苑 满五唯一 南向2居 电梯房 环境好 有车位,天时名苑,2室2厅,98.96,458,2009
96年小板楼  通透无遮挡 小区环境好 安静舒适,车站东街甲9号院,2室1厅,54.68,579,1995
